metric_1,metric_2,metric_3,metric_4,metric_5,metric_6,status
-1.6023,-0.4350,1.2402,0.4657,-1.9569,-0.0351,nominal
1.3982,2.1265,0.5617,0.3093,-1.2402,-0.8432,nominal
0.0469,0.5032,0.5802,-0.4782,-1.1519,-0.7778,nominal
-1.1570,0.6434,-2.3123,-0.3333,0.4499,1.5220,nominal
0.0713,1.0013,-0.3990,-0.7444,-0.6744,1.5273,nominal
0.9942,0.4874,3.3303,-0.0323,0.6203,0.3076,nominal
-0.2219,2.3162,1.5066,-1.3995,-0.3998,0.4283,nominal
0.7832,-1.3484,-2.2556,-1.9064,-0.0711,-0.1032,nominal
0.3452,-0.7697,-1.2242,-2.0230,0.3292,0.3701,nominal
0.9930,0.7908,-0.1907,1.3493,-0.1364,-0.6608,nominal
-0.5206,-0.5848,-2.1657,0.1563,0.2499,-0.3623,nominal
-0.7138,0.3718,1.7169,0.0383,-0.5076,-0.5914,nominal
-0.0698,-1.2648,-0.1253,0.0612,1.8447,0.9435,nominal
1.0340,-0.7129,0.6699,-1.1394,0.3120,0.4187,nominal
-0.7664,1.9994,0.5674,-1.9027,0.5529,-0.4074,nominal
0.0014,0.4658,0.3905,-2.0392,-1.1583,0.7726,nominal
1.3012,1.9032,1.8032,-2.0555,0.7695,-1.9163,nominal
1.6136,0.2533,-1.1412,2.0099,0.6440,-1.8911,nominal
0.2935,-0.7311,0.1113,-0.4652,1.3735,-1.4233,nominal
0.3174,1.8142,-0.8270,0.2106,0.2020,-0.6897,nominal
0.6479,0.0971,-0.9438,1.7620,0.7916,-0.1671,nominal
-0.6367,-0.7844,1.2309,-0.1465,0.4594,-0.1845,nominal
0.6164,-0.1160,0.7639,-0.1832,0.8296,0.6724,nominal
-0.1166,-0.8598,-0.9401,-0.7407,-0.9845,0.8658,nominal
-0.0466,1.5701,2.2793,0.0242,-1.5480,-0.3815,nominal
-0.0753,-1.4884,-0.2505,0.2869,-0.4594,-0.7684,nominal
-0.7588,1.7867,-0.1596,-0.8299,-0.3729,0.9543,nominal
-0.6847,0.4818,0.7279,0.7491,1.3997,-0.5505,nominal
1.1327,-0.7929,-0.3965,1.1961,0.8224,0.0021,nominal
-1.1914,0.5617,-0.6304,-0.9239,-0.6481,0.2465,nominal
-2.1210,0.3608,0.1739,-0.5845,1.0369,0.6114,nominal
-0.6063,-0.6700,0.6952,-1.5161,-0.3326,-0.6310,nominal
0.0699,0.2111,0.0368,1.1348,0.2281,-0.3150,nominal
-1.2109,0.7218,0.5281,1.4508,-0.7475,0.0264,nominal
-0.0587,-0.0876,0.0104,-1.7145,0.8250,0.6532,nominal
1.1305,2.2496,-0.3190,-0.0361,0.0098,1.9422,nominal
-1.7312,0.4858,-1.4708,-2.5816,-2.0208,-1.3818,nominal
1.0690,-0.8684,-0.2275,-1.1635,0.6110,-1.1020,nominal
1.3177,-0.9931,-0.7648,0.1227,0.0247,1.4247,nominal
0.1204,-1.2078,-0.5603,-0.5728,0.7250,0.3838,nominal
-0.1194,0.8696,-0.5285,-0.1362,0.1808,1.5282,nominal
-0.0985,-0.3508,-1.0458,0.6861,-0.5876,0.3437,nominal
-1.9016,1.0432,-1.3319,-0.7773,1.0586,-1.3345,nominal
-0.0795,0.0743,-0.9986,1.3429,1.4988,-1.9716,nominal
-1.4490,0.8082,-1.3030,-0.3886,0.1296,0.6919,nominal
-0.2233,0.0952,-0.7767,1.2924,-0.4953,0.3397,nominal
-0.5116,0.1063,-0.1682,-0.1625,-1.0138,0.7964,nominal
1.4140,0.2431,0.7323,0.8381,0.9280,0.3034,nominal
0.2123,0.8640,0.0688,-0.9739,0.0238,-1.8884,nominal
-0.0059,0.4134,1.2360,0.1513,0.9281,-0.0005,nominal
-1.0235,-1.4114,-0.9697,-1.3661,0.6337,-0.2076,nominal
0.5703,0.0734,1.0440,1.0602,-0.6453,-0.2743,nominal
-0.5328,-1.6213,0.6752,1.1888,-0.0064,-0.4932,nominal
1.0909,-2.3450,0.1775,0.1433,-0.5709,1.3916,nominal
0.9707,-0.2612,-0.0867,-0.3880,-0.5121,-1.3082,nominal
1.3799,1.0280,0.7982,-1.0943,2.0808,1.9802,nominal
0.1881,-0.9042,-0.8664,0.4185,-0.9130,-0.0342,nominal
1.0886,-1.5068,2.0057,1.5667,-1.2371,-1.4136,nominal
-0.2834,-1.0311,-0.2637,-2.5812,-0.2287,1.8029,nominal
-1.1166,-0.2731,-1.4896,0.6382,-0.2253,1.9407,nominal
0.2068,-0.3722,0.5503,-0.5062,-1.3393,0.3019,nominal
-0.1749,0.1663,0.3755,-0.5103,0.4216,1.7377,nominal
-1.1078,1.7374,-0.2428,-0.7666,2.4272,0.1550,nominal
1.3704,0.8176,-1.6806,0.1208,-0.5253,-1.3418,nominal
-1.7717,0.1023,0.5903,0.3907,-0.3058,-0.7985,nominal
-0.9869,-0.5552,-1.0331,-0.2033,-0.0229,-0.8960,nominal
-0.2321,-0.7603,-0.0045,0.5071,0.1781,0.4722,nominal
-1.6520,-0.3787,0.2767,0.6412,-1.5980,0.1592,nominal
1.2064,-0.1786,-0.0948,0.4505,0.2471,0.6746,nominal
0.0724,0.1525,-0.7824,-0.1704,1.2531,-0.2042,nominal
-0.1686,-0.4915,0.7872,-0.8547,0.9105,-0.9370,nominal
-1.0578,0.2059,0.1302,0.2976,1.0625,-0.4125,nominal
0.4430,-0.9098,1.2592,0.6325,0.5365,0.1879,nominal
-0.7856,-0.3274,0.5018,-0.0192,0.1237,-1.3598,nominal
0.1811,-0.6919,-1.0833,-0.1547,-1.8565,0.6986,nominal
0.8520,-0.0534,-0.9938,-0.9454,-0.1511,-2.4237,nominal
0.1805,0.6644,-0.3119,-0.4944,0.1820,0.3506,nominal
1.0942,0.0184,-0.6898,-0.4613,0.1819,1.5562,nominal
-0.3203,-1.0525,-0.8701,-2.0963,0.3298,-1.3613,nominal
-1.2335,-1.9760,-1.1180,0.5684,-1.3114,-1.7496,nominal
0.1783,-0.3412,0.4322,0.7406,-0.0085,-1.2978,nominal
-0.1238,0.5003,-0.5830,-1.4375,1.1026,-0.4152,nominal
-0.4092,0.0160,1.0305,0.2636,-0.3332,0.6821,nominal
2.1470,1.3878,0.6729,-1.1223,3.7521,-1.1987,nominal
-0.3718,-0.6999,1.6269,0.4202,-1.4271,0.2676,nominal
0.5469,-0.3185,-1.2202,-0.7250,-0.4368,0.0227,nominal
-0.5199,0.7352,-0.9499,-1.7314,-0.7394,1.3489,nominal
-0.5732,2.3408,0.4915,-1.1644,-0.8343,0.2434,nominal
-1.1776,2.3746,-0.9909,0.6809,1.4601,-0.1092,nominal
-0.9959,-0.2731,0.3622,0.8758,0.0567,-1.4002,nominal
0.0423,-0.6734,-2.1832,-0.6976,-1.4325,0.5869,nominal
1.9442,1.8588,-0.5732,-0.4674,0.6888,1.0613,nominal
-0.4187,-0.1426,2.2069,-0.1075,-0.4853,0.1199,nominal
0.5797,-1.0216,-0.2484,-1.1664,-0.2783,1.8769,nominal
0.7417,-0.0925,-0.9331,-0.3114,1.0507,-0.5617,nominal
1.4504,-1.3736,-0.2900,1.7428,-2.0078,1.1884,nominal
-1.8514,-0.0901,-0.1725,0.8243,-3.1545,-1.9178,nominal
-0.5660,0.0369,-0.8932,-0.2209,-1.1862,-0.4013,nominal
-0.8468,0.2440,0.5814,1.4329,-0.6564,-0.3180,nominal
0.0477,-0.2949,-0.0520,-1.5622,0.3718,-0.9152,nominal
-0.9570,-1.5881,1.1610,-0.1406,1.1495,0.2723,nominal
-1.7034,-1.0837,0.7579,-0.7657,-1.0903,-0.1794,nominal
-0.1770,-1.0119,-0.3261,-0.4785,-2.5900,0.5027,nominal
-0.8114,1.3044,-1.1501,-1.5796,1.1876,-1.5851,nominal
-0.6362,0.5973,-0.3296,-1.6555,0.1880,-0.1943,nominal
1.2839,0.5886,3.0357,-1.6459,-0.0217,-1.0667,nominal
1.1548,0.8218,0.7540,-0.7773,-0.7452,-2.0297,nominal
1.7095,0.5082,-0.2609,0.9335,0.7509,0.9753,nominal
-1.6235,-0.7138,0.1954,0.3554,0.9572,-1.0086,nominal
0.1272,2.2054,0.6919,0.8706,-0.0192,0.7676,nominal
1.8040,0.1066,1.2240,-0.8751,0.5901,0.9042,nominal
-0.7520,1.0981,-0.6752,-0.8052,-0.0012,1.9320,nominal
0.3092,0.9358,-0.7318,0.0775,-1.1766,-0.5711,nominal
0.8356,-0.0384,1.4513,-0.2024,-0.1979,1.2767,nominal
-0.6486,-1.5198,1.3013,0.4142,-2.1652,0.0445,nominal
-0.4038,1.7448,-0.7290,-0.5808,-0.9104,-1.0541,nominal
-0.7005,-1.4359,-1.0312,-1.6066,-1.4973,-1.5597,nominal
-0.5212,-0.6837,-1.2265,0.4783,-0.0481,-0.4320,nominal
-0.4640,1.5929,0.2398,0.4754,-2.5860,-0.6537,nominal
-2.1710,-0.4262,0.3733,-0.6743,0.5186,-1.0227,nominal
0.5758,-1.5536,-0.2617,0.4198,0.5359,-0.1273,nominal
1.9397,-0.4144,-0.4510,-2.7595,1.7689,-0.3690,nominal
-1.1760,1.3209,1.2355,0.1083,-1.4349,0.4190,nominal
-0.6214,-1.1708,1.0434,-2.1326,0.5672,0.4594,nominal
2.0510,0.3252,-2.0584,-0.8361,0.0647,0.3556,nominal
0.9808,-1.9597,-0.3299,0.9699,1.5440,1.8610,nominal
-0.3902,1.0976,1.7117,1.1981,0.7237,0.8278,nominal
-0.7899,-1.4472,0.9828,-0.3471,-0.0281,-0.5787,nominal
-0.3929,0.2327,-1.0219,0.0685,0.2461,-0.0774,nominal
-0.7436,0.7866,1.8726,-0.6012,1.2345,0.8893,nominal
-2.6533,-0.7612,-0.6358,0.7818,0.1885,0.4744,nominal
0.6363,-0.8989,-0.7465,-1.2229,-0.1703,-0.1191,nominal
0.1712,-0.7273,0.9065,0.9171,1.5465,0.7113,nominal
0.1855,0.6724,0.6098,-0.6518,1.2894,1.7185,nominal
1.9770,0.0352,0.3243,0.4164,-0.0025,0.6193,nominal
-0.1212,-0.1938,1.7590,0.1647,0.0670,0.8820,nominal
0.1503,0.2916,-0.0636,-1.2204,-0.0310,-1.1369,nominal
0.2102,-1.1814,0.9167,0.7492,0.2804,-0.1001,nominal
0.4163,-1.9650,-1.0968,-0.1487,0.3453,-0.0794,nominal
-1.0046,0.1334,-0.4537,-1.0686,0.3295,-0.2100,nominal
1.1965,0.6655,0.7347,0.3217,-0.8452,-0.9356,nominal
-1.4712,2.8790,-1.0794,-0.2098,-0.3604,-0.2811,nominal
-0.5841,-1.8683,-0.9982,-1.3907,-0.1268,-0.6842,nominal
-0.6872,0.2159,-0.5828,0.9321,-0.3862,0.2252,nominal
-1.3253,0.6569,-0.4052,0.4088,0.3300,-0.1734,nominal
0.2174,-0.3853,1.3461,0.9343,0.4825,-1.1801,nominal
-1.0993,-0.6639,-0.2450,0.4480,-0.8965,1.1771,nominal
0.0036,-2.0128,-0.4753,-2.5852,-0.7517,-0.5491,nominal
-0.6104,-0.3253,-0.3941,-0.5937,1.5025,1.2149,nominal
-1.1418,1.2539,-1.6214,-0.8146,1.5252,-2.2396,nominal
0.5748,-1.2535,-0.1440,-0.1802,1.6972,-0.8106,nominal
-0.0690,0.6270,-0.2518,-0.8221,-0.0592,0.0935,nominal
0.8841,-0.9431,-0.4491,0.3229,-0.1672,-0.1853,nominal
-0.0170,-0.6958,-0.7997,0.4407,-1.0951,1.1654,nominal
0.2173,-1.2765,0.2830,0.1673,0.7622,1.1588,nominal
-0.3664,-0.7078,-0.6060,-0.9811,-0.7464,0.2845,nominal
0.0153,-0.4914,-0.7383,0.3479,-0.5016,-1.0402,nominal
-0.1517,-0.2645,-1.0700,0.8272,0.8460,0.0409,nominal
0.1310,0.5273,-0.0309,0.8913,1.6560,0.0805,nominal
2000.4403,2000.8735,1999.6620,1998.8717,2000.9060,1998.4312,critical
2001.7888,2000.8704,2000.1877,2000.0511,2001.7514,1999.0538,critical
1998.8398,1999.4019,1999.7382,1998.9935,2000.1539,2000.1359,critical
1999.1861,2001.6031,1998.6079,1998.7233,2000.3761,1999.7925,critical
2000.4177,1999.3810,1998.9667,1999.3545,1999.3164,2000.5250,critical
1999.5200,2000.7614,2000.5881,2001.0406,2000.9007,2000.7844,critical
2000.7699,1999.4833,1999.7381,1998.1699,2000.2918,1999.3262,critical
2000.4015,2000.5275,1998.6479,1998.9862,1999.6507,1999.4824,critical
