metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
-0.8468,0.2440,0.5814,1.4329,-0.6564,-0.3180
0.0477,-0.2949,-0.0520,-1.5622,0.3718,-0.9152
-0.9570,-1.5881,1.1610,-0.1406,1.1495,0.2723
-1.7034,-1.0837,0.7579,-0.7657,-1.0903,-0.1794
-0.1770,-1.0119,-0.3261,-0.4785,-2.5900,0.5027
-0.8114,1.3044,-1.1501,-1.5796,1.1876,-1.5851
-0.6362,0.5973,-0.3296,-1.6555,0.1880,-0.1943
1.2839,0.5886,3.0357,-1.6459,-0.0217,-1.0667
1.1548,0.8218,0.7540,-0.7773,-0.7452,-2.0297
1.7095,0.5082,-0.2609,0.9335,0.7509,0.9753
-1.6235,-0.7138,0.1954,0.3554,0.9572,-1.0086
0.1272,2.2054,0.6919,0.8706,-0.0192,0.7676
1.8040,0.1066,1.2240,-0.8751,0.5901,0.9042
-0.7520,1.0981,-0.6752,-0.8052,-0.0012,1.9320
0.3092,0.9358,-0.7318,0.0775,-1.1766,-0.5711
0.8356,-0.0384,1.4513,-0.2024,-0.1979,1.2767
-0.6486,-1.5198,1.3013,0.4142,-2.1652,0.0445
-0.4038,1.7448,-0.7290,-0.5808,-0.9104,-1.0541
-0.7005,-1.4359,-1.0312,-1.6066,-1.4973,-1.5597
-0.5212,-0.6837,-1.2265,0.4783,-0.0481,-0.4320
-0.4640,1.5929,0.2398,0.4754,-2.5860,-0.6537
-2.1710,-0.4262,0.3733,-0.6743,0.5186,-1.0227
0.5758,-1.5536,-0.2617,0.4198,0.5359,-0.1273
1.9397,-0.4144,-0.4510,-2.7595,1.7689,-0.3690
-1.1760,1.3209,1.2355,0.1083,-1.4349,0.4190
-0.6214,-1.1708,1.0434,-2.1326,0.5672,0.4594
2.0510,0.3252,-2.0584,-0.8361,0.0647,0.3556
0.9808,-1.9597,-0.3299,0.9699,1.5440,1.8610
-0.3902,1.0976,1.7117,1.1981,0.7237,0.8278
-0.7899,-1.4472,0.9828,-0.3471,-0.0281,-0.5787
-0.3929,0.2327,-1.0219,0.0685,0.2461,-0.0774
-0.7436,0.7866,1.8726,-0.6012,1.2345,0.8893
-2.6533,-0.7612,-0.6358,0.7818,0.1885,0.4744
0.6363,-0.8989,-0.7465,-1.2229,-0.1703,-0.1191
0.1712,-0.7273,0.9065,0.9171,1.5465,0.7113
0.1855,0.6724,0.6098,-0.6518,1.2894,1.7185
1.9770,0.0352,0.3243,0.4164,-0.0025,0.6193
-0.1212,-0.1938,1.7590,0.1647,0.0670,0.8820
0.1503,0.2916,-0.0636,-1.2204,-0.0310,-1.1369
0.2102,-1.1814,0.9167,0.7492,0.2804,-0.1001
0.4163,-1.9650,-1.0968,-0.1487,0.3453,-0.0794
-1.0046,0.1334,-0.4537,-1.0686,0.3295,-0.2100
1.1965,0.6655,0.7347,0.3217,-0.8452,-0.9356
-1.4712,2.8790,-1.0794,-0.2098,-0.3604,-0.2811
-0.5841,-1.8683,-0.9982,-1.3907,-0.1268,-0.6842
-0.6872,0.2159,-0.5828,0.9321,-0.3862,0.2252
-1.3253,0.6569,-0.4052,0.4088,0.3300,-0.1734
0.2174,-0.3853,1.3461,0.9343,0.4825,-1.1801
-1.0993,-0.6639,-0.2450,0.4480,-0.8965,1.1771
0.0036,-2.0128,-0.4753,-2.5852,-0.7517,-0.5491
-0.6104,-0.3253,-0.3941,-0.5937,1.5025,1.2149
-1.1418,1.2539,-1.6214,-0.8146,1.5252,-2.2396
0.5748,-1.2535,-0.1440,-0.1802,1.6972,-0.8106
-0.0690,0.6270,-0.2518,-0.8221,-0.0592,0.0935
0.8841,-0.9431,-0.4491,0.3229,-0.1672,-0.1853
-0.0170,-0.6958,-0.7997,0.4407,-1.0951,1.1654
0.2173,-1.2765,0.2830,0.1673,0.7622,1.1588
-0.3664,-0.7078,-0.6060,-0.9811,-0.7464,0.2845
0.0153,-0.4914,-0.7383,0.3479,-0.5016,-1.0402
-0.1517,-0.2645,-1.0700,0.8272,0.8460,0.0409
0.1310,0.5273,-0.0309,0.8913,1.6560,0.0805
2000.4403,2000.8735,1999.6620,1998.8717,2000.9060,1998.4312
2001.7888,2000.8704,2000.1877,2000.0511,2001.7514,1999.0538
1998.8398,1999.4019,1999.7382,1998.9935,2000.1539,2000.1359
1999.1861,2001.6031,1998.6079,1998.7233,2000.3761,1999.7925
